country,date,confirmed,deaths,recovered,sick,new,new_deaths,new_deaths_3
China-Hubei,2020/01/22,444.0,17.0,28.0,399.0,0.0,0.0,0.0
China-Hubei,2020/01/23,444.0,17.0,28.0,399.0,0.0,0.0,0.0
China-Hubei,2020/01/24,549.0,24.0,31.0,494.0,105.0,7.0,0.0
China-Hubei,2020/01/25,761.0,40.0,32.0,689.0,212.0,16.0,8.0
China-Hubei,2020/01/26,1058.0,52.0,42.0,964.0,297.0,12.0,12.0
China-Hubei,2020/01/27,1423.0,76.0,45.0,1302.0,365.0,24.0,17.0
China-Hubei,2020/01/28,3554.0,125.0,80.0,3349.0,2131.0,49.0,28.0
China-Hubei,2020/01/29,3554.0,125.0,88.0,3341.0,0.0,0.0,24.0
China-Hubei,2020/01/30,4903.0,162.0,90.0,4651.0,1349.0,37.0,29.0
China-Hubei,2020/01/31,5806.0,204.0,141.0,5461.0,903.0,42.0,26.0
China-Hubei,2020/02/01,7153.0,249.0,168.0,6736.0,1347.0,45.0,41.0
China-Hubei,2020/02/02,11177.0,350.0,295.0,10532.0,4024.0,101.0,63.0
China-Hubei,2020/02/03,13522.0,414.0,386.0,12722.0,2345.0,64.0,70.0
China-Hubei,2020/02/04,16678.0,479.0,522.0,15677.0,3156.0,65.0,77.0
China-Hubei,2020/02/05,19665.0,549.0,633.0,18483.0,2987.0,70.0,66.0
China-Hubei,2020/02/06,22112.0,618.0,817.0,20677.0,2447.0,69.0,68.0
China-Hubei,2020/02/07,24953.0,699.0,1115.0,23139.0,2841.0,81.0,73.0
China-Hubei,2020/02/08,27100.0,780.0,1439.0,24881.0,2147.0,81.0,77.0
China-Hubei,2020/02/09,29631.0,871.0,1795.0,26965.0,2531.0,91.0,84.0
China-Hubei,2020/02/10,31728.0,974.0,2222.0,28532.0,2097.0,103.0,92.0
China-Hubei,2020/02/11,33366.0,1068.0,2639.0,29659.0,1638.0,94.0,96.0
China-Hubei,2020/02/12,33366.0,1068.0,2686.0,29612.0,0.0,0.0,66.0
China-Hubei,2020/02/13,48206.0,1310.0,3459.0,43437.0,14840.0,242.0,112.0
China-Hubei,2020/02/14,54406.0,1457.0,4774.0,48175.0,6200.0,147.0,130.0
China-Hubei,2020/02/15,56249.0,1596.0,5623.0,49030.0,1843.0,139.0,176.0
China-Hubei,2020/02/16,58182.0,1696.0,6639.0,49847.0,1933.0,100.0,129.0
China-Hubei,2020/02/17,59989.0,1789.0,7862.0,50338.0,1807.0,93.0,111.0
China-Hubei,2020/02/18,61682.0,1921.0,9128.0,50633.0,1693.0,132.0,108.0
China-Hubei,2020/02/19,62031.0,2029.0,10337.0,49665.0,349.0,108.0,111.0
China-Hubei,2020/02/20,62442.0,2144.0,11788.0,48510.0,411.0,115.0,118.0
China-Hubei,2020/02/21,62662.0,2144.0,11881.0,48637.0,220.0,0.0,74.0
China-Hubei,2020/02/22,64084.0,2346.0,15299.0,46439.0,1422.0,202.0,106.0
China-Hubei,2020/02/23,64084.0,2346.0,15343.0,46395.0,0.0,0.0,67.0
China-Hubei,2020/02/24,64287.0,2495.0,16748.0,45044.0,203.0,149.0,117.0
China-Hubei,2020/02/25,64786.0,2563.0,18971.0,43252.0,499.0,68.0,72.0
China-Hubei,2020/02/26,65187.0,2615.0,20969.0,41603.0,401.0,52.0,90.0
China-Hubei,2020/02/27,65596.0,2641.0,23383.0,39572.0,409.0,26.0,49.0
China-Hubei,2020/02/28,65914.0,2682.0,26403.0,36829.0,318.0,41.0,40.0
China-Hubei,2020/02/29,66337.0,2727.0,28993.0,34617.0,423.0,45.0,37.0
China-Hubei,2020/03/01,66907.0,2761.0,31536.0,32610.0,570.0,34.0,40.0
China-Hubei,2020/03/02,67103.0,2803.0,33934.0,30366.0,196.0,42.0,40.0
China-Hubei,2020/03/03,67217.0,2835.0,36208.0,28174.0,114.0,32.0,36.0
China-Hubei,2020/03/04,67332.0,2871.0,38557.0,25904.0,115.0,36.0,37.0
China-Hubei,2020/03/05,67466.0,2902.0,40592.0,23972.0,134.0,31.0,33.0
China-Hubei,2020/03/06,67592.0,2931.0,42033.0,22628.0,126.0,29.0,32.0
China-Hubei,2020/03/07,67666.0,2959.0,43500.0,21207.0,74.0,28.0,29.0
China-Hubei,2020/03/08,67707.0,2986.0,45235.0,19486.0,41.0,27.0,28.0
China-Hubei,2020/03/09,67743.0,3008.0,46488.0,18247.0,36.0,22.0,26.0
China-Hubei,2020/03/10,67760.0,3024.0,47743.0,16993.0,17.0,16.0,22.0
China-Hubei,2020/03/11,67773.0,3046.0,49134.0,15593.0,13.0,22.0,20.0
China-Hubei,2020/03/12,67781.0,3056.0,50318.0,14407.0,8.0,10.0,16.0
China-Hubei,2020/03/13,67786.0,3062.0,51553.0,13171.0,5.0,6.0,13.0
China-Hubei,2020/03/14,67790.0,3075.0,52960.0,11755.0,4.0,13.0,10.0
China-Hubei,2020/03/15,67794.0,3085.0,54288.0,10421.0,4.0,10.0,10.0
China-Hubei,2020/03/16,67798.0,3099.0,55142.0,9557.0,4.0,14.0,12.0
China-Hubei,2020/03/17,67799.0,3111.0,56003.0,8685.0,1.0,12.0,12.0
China-Hubei,2020/03/18,67800.0,3122.0,56927.0,7751.0,1.0,11.0,12.0
China-Hubei,2020/03/19,67800.0,3130.0,57682.0,6988.0,0.0,8.0,10.0
China-Hubei,2020/03/20,67800.0,3133.0,58382.0,6285.0,0.0,3.0,7.0
China-Hubei,2020/03/21,67800.0,3139.0,58946.0,5715.0,0.0,6.0,6.0
China-Hubei,2020/03/22,67800.0,3144.0,59433.0,5223.0,0.0,5.0,5.0
China-Hubei,2020/03/23,67800.0,3153.0,59882.0,4765.0,0.0,9.0,7.0
China-Hubei,2020/03/24,67801.0,3160.0,60324.0,4317.0,1.0,7.0,7.0
China-Hubei,2020/03/25,67801.0,3163.0,60811.0,3827.0,0.0,3.0,6.0
China-Hubei,2020/03/26,67801.0,3169.0,61201.0,3431.0,0.0,6.0,5.0
China-Hubei,2020/03/27,67801.0,3174.0,61732.0,2895.0,0.0,5.0,5.0
China-Hubei,2020/03/28,67801.0,3177.0,62098.0,2526.0,0.0,3.0,5.0
China-Hubei,2020/03/29,67801.0,3182.0,62570.0,2049.0,0.0,5.0,4.0
China-not-Hubei,2020/01/22,103.0,0.0,0.0,0.0,0.0,0.0,0.0
China-not-Hubei,2020/01/23,195.0,1.0,2.0,0.0,92.0,1.0,0.0
China-not-Hubei,2020/01/24,367.0,2.0,5.0,0.0,172.0,1.0,0.0
China-not-Hubei,2020/01/25,638.0,2.0,7.0,0.0,271.0,0.0,1.0
China-not-Hubei,2020/01/26,1004.0,4.0,7.0,38.0,366.0,2.0,1.0
China-not-Hubei,2020/01/27,1440.0,6.0,13.0,126.0,436.0,2.0,1.0
China-not-Hubei,2020/01/28,1940.0,6.0,21.0,147.0,500.0,0.0,1.0
China-not-Hubei,2020/01/29,2516.0,8.0,32.0,505.0,576.0,2.0,1.0
China-not-Hubei,2020/01/30,3221.0,9.0,45.0,673.0,705.0,1.0,1.0
China-not-Hubei,2020/01/31,3977.0,9.0,73.0,830.0,756.0,0.0,1.0
China-not-Hubei,2020/02/01,4718.0,10.0,107.0,4601.0,741.0,1.0,1.0
China-not-Hubei,2020/02/02,5430.0,11.0,168.0,5251.0,712.0,1.0,1.0
China-not-Hubei,2020/02/03,6171.0,11.0,228.0,5932.0,741.0,0.0,1.0
China-not-Hubei,2020/02/04,7002.0,11.0,321.0,6670.0,831.0,0.0,0.0
China-not-Hubei,2020/02/05,7744.0,13.0,482.0,7249.0,742.0,2.0,1.0
China-not-Hubei,2020/02/06,8441.0,14.0,659.0,7768.0,697.0,1.0,1.0
China-not-Hubei,2020/02/07,9122.0,18.0,883.0,8221.0,681.0,4.0,2.0
China-not-Hubei,2020/02/08,9678.0,24.0,1156.0,8498.0,556.0,6.0,4.0
China-not-Hubei,2020/02/09,10159.0,33.0,1423.0,8703.0,481.0,9.0,6.0
China-not-Hubei,2020/02/10,10578.0,37.0,1695.0,8846.0,419.0,4.0,6.0
China-not-Hubei,2020/02/11,10961.0,43.0,1996.0,8922.0,383.0,6.0,6.0
China-not-Hubei,2020/02/12,11333.0,48.0,2393.0,8892.0,372.0,5.0,5.0
China-not-Hubei,2020/02/13,11626.0,58.0,2754.0,8814.0,293.0,10.0,7.0
China-not-Hubei,2020/02/14,11886.0,63.0,3199.0,8624.0,260.0,5.0,7.0
China-not-Hubei,2020/02/15,12098.0,66.0,3671.0,8361.0,212.0,3.0,6.0
China-not-Hubei,2020/02/16,12264.0,69.0,4109.0,8086.0,166.0,3.0,4.0
China-not-Hubei,2020/02/17,12375.0,74.0,4593.0,7708.0,111.0,5.0,4.0
China-not-Hubei,2020/02/18,12457.0,81.0,5071.0,7305.0,82.0,7.0,5.0
China-not-Hubei,2020/02/19,12515.0,85.0,5615.0,6815.0,58.0,4.0,5.0
China-not-Hubei,2020/02/20,12557.0,92.0,6214.0,6251.0,42.0,7.0,6.0
China-not-Hubei,2020/02/21,12810.0,92.0,6812.0,5906.0,253.0,0.0,4.0
China-not-Hubei,2020/02/22,12838.0,95.0,7388.0,5355.0,28.0,3.0,3.0
China-not-Hubei,2020/02/23,12854.0,97.0,7827.0,4930.0,16.0,2.0,2.0
China-not-Hubei,2020/02/24,12865.0,98.0,8242.0,4525.0,11.0,1.0,2.0
China-not-Hubei,2020/02/25,12874.0,100.0,8679.0,4095.0,9.0,2.0,2.0
China-not-Hubei,2020/02/26,12878.0,100.0,9084.0,3694.0,4.0,0.0,1.0
China-not-Hubei,2020/02/27,12902.0,103.0,9515.0,3284.0,24.0,3.0,2.0
China-not-Hubei,2020/02/28,12910.0,106.0,9888.0,2916.0,8.0,3.0,2.0
China-not-Hubei,2020/02/29,12914.0,108.0,10286.0,2520.0,4.0,2.0,3.0
China-not-Hubei,2020/03/01,12919.0,109.0,10582.0,2228.0,5.0,1.0,2.0
China-not-Hubei,2020/03/02,12923.0,109.0,10876.0,1938.0,4.0,0.0,1.0
China-not-Hubei,2020/03/03,12934.0,110.0,11196.0,1628.0,11.0,1.0,1.0
China-not-Hubei,2020/03/04,12939.0,110.0,11398.0,1431.0,5.0,0.0,0.0
China-not-Hubei,2020/03/05,12956.0,111.0,11648.0,1197.0,17.0,1.0,1.0
China-not-Hubei,2020/03/06,12981.0,111.0,11855.0,1015.0,25.0,0.0,0.0
China-not-Hubei,2020/03/07,12986.0,111.0,11978.0,897.0,5.0,0.0,0.0
China-not-Hubei,2020/03/08,12992.0,111.0,12085.0,796.0,6.0,0.0,0.0
China-not-Hubei,2020/03/09,12992.0,112.0,12247.0,633.0,0.0,1.0,0.0
China-not-Hubei,2020/03/10,12997.0,112.0,12363.0,522.0,5.0,0.0,0.0
